TAG	CATEGORY	NOTES / TRANSLATION
R-18	r18	
オリジナル	oc	
おっぱい	tit-	
巨乳	tit-	big breasts
乳首ピアス	nip pierc	nipple piercing
拘束	bond	bondage - restraint - kōsoku
女の子	content-	girl
おしっこ	uro	pee
ぶっかけ	cum	bukkake
極上の乳	tit-	first-rate breasts
R-18G	guro	R-18G
飲尿	uro mouth	urophagia
尻神様	ass-	ass god
浴尿	uro	meat urinal - urine bath - yokunyō
母乳	tit milk	breast milk
肉便器	uro	meat toilet - niku benki
ピアス	pierc	piercing
艦これ	tm	KanColle
爆乳	tit-	big breasts
極上の女体	body-	superb female body
陰毛	pussy-	pubic hair
首輪	sm- pet	collar - kubiwa (choker)
漫画	content	manga
魅惑の谷間	tit	cleavage - enchanting cleavage - miwaku no tanima
うごイラ	anim	ugoira - moving illustration
緊縛	bond	bondage - kinbaku
褐色	tan	dark skin
調教	sm	training - chōkyō (sm related)
中出し	cum	creampie - internal ejaculation
ボディスーツ	expose underwear	Bodysuit
ロリ	loli	loli
アズールレーン	tm	Azur Lane
AIイラスト	ai	AI illustration
ポケモン	tm	Pokémon
ブルーアーカイブ	tm	Blue Archive
おもらし	uro	peeing
バーチャルYouTuber	©	vtuber
スカトロ	sca	scat - sukatoro
露出	expose	exhibitionism - exposure - roshutsu
百合	not_solo yuri	yuri
乳首責め	nip	nipple stimulation - nipple torture - chikubizeme
放尿	uro	urination - hōnyō
アナル	anal	anal
魅惑のふともも	thigh-	bewitching thighs - enchanting thighs - Miwaku no futo momo
原神	tm	Genshin Impact
東方	tm	Touhou
パイズリ	tit dick	paizuri - titty fuck
フェラ	mouth dick	fellatio / blowjob
エロ衣装	expose	sexy clothes / erotic costume
輪姦	dick	gangbang
むちむち	chubby-	plump
拷問	sm	torture
Fate/GrandOrder	tm	Fate/Grand Order
くぱぁ	pussy	Kuppaa - spread pussy
ホロライブ	tm	Hololive
猿轡	mouth sm	mouth gag
東方Project	tm	Touhou Project
揉みしだきたい乳	tit	boobs I want to massage
アナログ	not_ai	analog / traditional art
身体に落書き	bodymark-	body doodling
レイプ	sm	rape
リョナ	ryona	ryona
アイマス	tm	IMAS - Idolmaster
艦隊これくしょん	tm	Kantai Collection
Fate/GO	tm	Fate/GO
裸足	foot-	barefoot
水着	swim	swimsuit
奴隷	sm	slave
制服	costume	uniform
アヘ顔	face	ahegao
アイドルマスターシンデレラガールズ	tm	THE IDOLM@STER CINDERELLA GIRLS
全裸	body- expose	completely naked
淫紋	bodymark	sexual demon tattoo - Indecent Crest
目がハート	bodypart	heart eyes
腋	armpit	armpits
ポケモン人間絵	©	human characters in Pokémon
FGO	tm	FGO
猫耳	fantasy	cat ears
メイド	costume	maid
ふたなり	tit dick expose	futanari
AI	ai	AI
オナニー	mast	masturbation
サキュバス	fantasy	succubus
顔射	cum	facial ejaculation
コピック	not_ai	copic
触手	beast	tentacle
全身タイツ	expose underwear	full bodysuit / zentai
おへそ	belly-	navel / bellybutton
GenshinImpact	tm	GenshinImpact
クリピアス	clit pierc	clitoris piercing
金髪	hair-	blonde
敗北	sm	defeat
VTuber	©	VTuber
搾乳	milk	milking
催眠	sm-	hypnosis
ロリ巨乳	loli tit	loli with huge breasts
ボンデージ	bond	bondage
ボールギャグ	mouth sm	ball gag
溢れ精液	cum	creampie - overflowing semen
女子高生	id	high school girl
SM	sm	SM
