ID	TAG	CATEGORY	NOTES / TRANSLATION
1	R-18	r18	R-18
2	オリジナル	oc	Original
3	おっぱい	tit-	breasts
4	巨乳	tit-	big breasts
5	乳首ピアス	nip pierc	nipple piercing
6	拘束	bond	bondage - restraint - kōsoku
7	女の子	content-	girl
8	おしっこ	uro	pee
9	ぶっかけ	cum	bukkake
10	極上の乳	tit-	first-rate breasts
11	R-18G	guro	R-18G
12	飲尿	uro mouth	urophagia
13	尻神様	ass-	ass god
14	浴尿	uro	meat urinal - urine bath - yokunyō
15	母乳	tit milk	breast milk
16	肉便器	uro	meat toilet - niku benki
17	ピアス	pierc	piercing
18	艦これ	tm	KanColle
19	爆乳	tit-	big breasts
20	極上の女体	body-	superb female body
21	陰毛	pussy	pubic hair
22	首輪	sm- pet	collar - kubiwa (choker)
23	漫画	content	manga
24	魅惑の谷間	tit	cleavage - enchanting cleavage - miwaku no tanima
25	うごイラ	anim	ugoira - moving illustration
26	緊縛	bond	bondage - kinbaku
27	褐色	black	dark skin
28	調教	sm	training - chōkyō (sm related)
29	中出し	cum	creampie - internal ejaculation
30	ぱんつ	underwear	panties
31	ロリ	loli	loli
32	アズールレーン	tm	Azur Lane
33	AIイラスト	ai	AI illustration
34	ポケモン	tm	Pokémon
35	ブルーアーカイブ	tm	Blue Archive
36	おもらし	uro	peeing
37	バーチャルYouTuber	©	vtuber
38	スカトロ	sca	scat - sukatoro
39	露出	expose	exhibitionism - exposure - roshutsu
40	百合	not_solo yuri	yuri
41	乳首責め	nip	nipple stimulation - nipple torture - chikubizeme
42	放尿	uro	urination - hōnyō
43	アナル	anus	anal
44	魅惑のふともも	thigh-	bewitching thighs - enchanting thighs - Miwaku no futo momo
45	原神	tm	Genshin Impact
46	東方	tm	Touhou
47	パイズリ	tit dick	paizuri - titty fuck
48	フェラ	mouth dick	fellatio / blowjob
49	エロ衣装	expose	sexy clothes / erotic costume
50	輪姦	dick	gangbang
51	むちむち	chubby-	plump
52	拷問	sm	torture
53	Fate/GrandOrder	tm	Fate/Grand Order
54	くぱぁ	pussy	Kuppaa - spread pussy
55	ホロライブ	tm	Hololive
56	猿轡	mouth sm	mouth gag
57	東方Project	tm	Touhou Project
58	揉みしだきたい乳	tit-	boobs I want to massage
59	アナログ	not_ai	analog / traditional art
60	身体に落書き	bodymark-	body doodling
61	レイプ	sm	rape
62	リョナ	ryona	ryona
63	アイマス	tm	IMAS - Idolmaster
64	艦隊これくしょん	tm	Kantai Collection
65	Fate/GO	tm	Fate/GO
66	裸足	foot-	barefoot
67	水着	swim	swimsuit
68	奴隷	sm	slave
69	制服	costume	uniform
70	アヘ顔	face	ahegao
71	アイドルマスターシンデレラガールズ	tm	THE IDOLM@STER CINDERELLA GIRLS
72	全裸	body- expose	completely naked
73	淫紋	bodymark	sexual demon tattoo - Indecent Crest
74	目がハート	bodypart	heart eyes
75	腋	armpit	armpits
76	ポケモン人間絵	©	human characters in Pokémon
77	FGO	tm	FGO
78	猫耳	fantasy	cat ears
79	メイド	costume	maid
80	ふたなり	tit dick expose	futanari
81	AI	ai	AI
82	オナニー	mast	masturbation
83	サキュバス	fantasy	succubus
84	顔射	cum	facial ejaculation
85	コピック	not_ai	copic
86	触手	beast	tentacle
87	長手袋	wear-	long gloves
88	おへそ	belly-	navel / bellybutton
89	GenshinImpact	tm	GenshinImpact
90	クリピアス	clit pierc	clitoris piercing
91	金髪	hair-	blonde
92	敗北	sm	defeat
93	VTuber	©	VTuber
94	搾乳	milk	milking
95	催眠	sm-	hypnosis
96	ロリ巨乳	loli tit	loli with huge breasts
97	ボンデージ	bond	bondage
98	ボールギャグ	mouth sm	ball gag
99	溢れ精液	cum	creampie - overflowing semen
100	女子高生	id	high school girl
101	SM	sm	SM
102	エロ蹲踞	expose thight pussy	sexy squatting
103	アークナイツ	tm	Arknights
104	NTR	type-	NTR / Netorare
105	明日方舟	tm	Arknights (Chinese name)
106	お尻	ass-	butt / ass
107	濡れ透け	expose	wet see-through clothes
108	ケモノ	fantasy	kemono / furry
109	眼鏡	glasses	glasses
110	拡張	expose pussy	dilation / stretching
111	ブルアカ	tm	Buruaka - Blue Archive (Abbreviation)
112	グラブル	tm	Granblue Fantasy
113	騎乗位	sex	Cowgirl position
114	ツインテール	hair-	twin ponytails (hairstyle)
115	塗糞	sca	scat smearing
116	BlueArchive	tm	Blue Archive
117	失禁	uro	incontinence - wetting - shikkin
118	メスケモ	fantasy	Female Furry / Anthro girl - Female Kemo
119	AI生成	ai	AI Generated Content
120	性奴隷	sm	Sex slave
121	ボテ腹	belly-	pregnant belly / swollen belly
122	裸	body- expose	nude
123	美少女	content-	Beautiful girl / Bishoujo
124	美少女戦士セーラームーン	tm	Pretty Guardian Sailor Moon
125	乳首	nip-	nipples
